Genre,Poem
Death,The autopsy found your heart was a library no one checked out
Affection,"Wine comes in at the mouthAnd love comes in at the eye;That’s all we shall know for truthBefore we grow old and die.I lift the glass to my mouth, I look at you, and I sigh."
Affection,"When you appeared it was as ifmagnets cleared the air.I had never seen that smile beforeor your hair, flying silver. Someonewaving goodbye, she was silver, too.Of course you didn’t see me.I called softly so you could choosenot to answer—then called again.You turned in the light, your eyesseeking your name."
Affection,Your breath against my neck writes poems no pen could ever trace
Affection,"While my hair was still cut straight across my forehead I played about the front gate, pulling flowers. You came by on bamboo stilts, playing horse, You walked about my seat, playing with blue plums. And we went on living in the village of Chokan: Two small people, without dislike or suspicion.At fourteen I married"
Music,Sometimes starting with a titleInfuses the workWith an insurmountable dreadHow is one to fulfill such a promiseTo make good on the pactThat art in the end allowsFor a kind of connectivityLife otherwise lacksOr lacks in those moreContemplative waysSince mixing the ingredientsTo say a batch of cookiesIs in its own right
Music,"Christmas Eve, 2016Before everyone died – in my family – first definition I learned was – my mother’s maiden name, ULANDAY – which literally means – of the rain – and biology books remind us – the pouring has a pattern –  has purpose – namesake means release – for"
Music,"For Frank X WalkerFXW: I don’t know how to swim Me: What?! FXW: There were no pools for Black Folk when I was coming up In sleep’s 3-D theatre: home,a green island surrounded by the blue of ocean. Zoom to the heart, see"
Music,"{on the occasion of Martin Puryear’s Noblesse O’ (red cedar and aluminum paint) at the Dallas Museum of Art}Perfect for picking up marbles, For finding, lifting, a favoriteBlade of grass, O’ magic elastic straw of the watering hole,Perfected for sucking, water, up, Then miraculously aiming back Around, into the mouth, mod implement"
Affection,Your whispers are feathers that line the nest of my ribs
Environment,"The morning comes, and thickening clouds prevail, Hanging like curtains all the horizon round, Or overhead in heavy stillness sail; So still is day, it seems like night profound; Scarce by the city’s din the air is stirred, And dull and deadened comes"
Music,The cello weeps amber tears into silence's lap
Environment,"At night the moon shakes the bright dice of the water;And the elders, their flower light as broken snow upon the bush,Repeat the circle of the moon.Within the monthBlack fruit breaks from the white flower.The black-wheeled berries turnWeighing the boughs over the road.There is no harvest.Heavy to withering, the black"
Sorrow,Your coffee cup still stains the shelf where you left it half-full
Sorrow,I wear your old shirts as bandages over invisible wounds
Death,The funeral procession moved like a sentence missing its final punctuation
Sorrow,My therapist collects my tears in beakers labeled 'progress'
Death,The hearse carries tomorrows that will never unpack their suitcases
Music,"A metal bunk bed A mattress and hard pillow Two lockers and one desk A toilet and sink A door that is closed Heat out the vent and it’s hot I’m sweating, yet it’s cold A night light on, yet it’s dark A sheet covers me Yet I want more than a sheet The floor is cold Yet I"
Death,The urn weighs less than your laugh ever did - physics lies
Affection,Your hands map constellations only my skin can see
Music,"Soon my father will lose his wedding ring but before that happens we take the path along the cliff-edge past the sign that says Danger: Keep Back because the waves below have undermined it, and the next big storm will be enough to bring the whole face down.I know this but I can’t help looking"
Death,The coffin ate your shadow and now the sun lies about noon
Affection,Your eyelashes paint brushstrokes on my chest when you dream against me
Affection,Your fingerprints left braille love letters on my skin
Music,The cello's bow draws charcoal portraits of midnights we'll never reclaim
Music,I wake tored sand Isleep herecoral brickhooghaan Iwalk thinrabbit brushtrails side-step earlyautumntarantulas pick desertwhite flowerson full days Iinhale fe-male rainI stop wheelsslow sheepbounce dropsheep shitacross highwayspotholedme I grassnothinghere I meta-grass I sleep-walk grassesopen eyes toblue corn skyto cook upstews chunkshalf-chewed thruI am thissalivatingmouth withouthands with-out arms bent downshamelessface to plate tosome origin(al)hunger awarethat
Death,"The clock's hands wilt like dying flowers, time bows before eternal hours"
Environment,The wildfire writes its manifesto in ember runes
Sorrow,I dial your number just to hear the void say 'disconnected'
Affection,Your hands sculpt sunlight into forms only my skin recognizes
Affection,"When the moonlight's on the mountain And the gloom is on the glen, At the cross beside the fountain There is one will meet thee then. At the cross beside the fountain; Yes, the cross beside the"
Death,"A woman tattoos Malik’s name aboveher breast & talks about the conspiracyto destroy blacks. This is all a fancy wayto say that someone kirked out, emptiedfive or six or seven shots into a still warm body.No indictment follows Malik’s Death,follows smoke running from a fired pistol.An old quarrel: crimson against"
Sorrow,I call your voicemail just to hear the robot say your name
Sorrow,I sleep on your side of the bed to haunt your absence
Environment,"If tired of trees I seek again mankind,    Well I know where to hie me—in the dawn,    To a slope where the cattle keep the lawn.There amid lolling juniper reclined,Myself unseen, I see in white defined    Far off the homes of men, and farther still    The graves of men on"
Death,"Daphne was known within these doors And to these streets. Lovely her humor and lovely her smile We tear our garments and sit on low boxes Let's see who can sing the best story.Amaryllis I will praise as best I can Taking my turn to raise our Daphne up Among the stars, Daphne shall be high Among"
Music,"Dear Empire, I am confused each time I wake inside you. You invent addictions."
Environment,"Lightning forks the sky's black cake, serving portions of electric plasma"
Environment,"The jacaranda blooms beside the drunk stick tree.Come. I see you swelling with nectar. Hear you,Venteveos, shriek till night. Come. See me.The jacaranda blooms beside the drunk stick tree.The violent violet petals pollen weep.A bichofeo sings of you with open throat and beak.A jacaranda blooms beside the drunk stick tree.I"
Music,The vinyl record wears its grooves like tree rings of forgotten dances
Music,"There is a quick sharp pull that one might feel, with it a weighted turn to finding brightness where there is none. I have Seattle to thank for this, but the home of ours must be built anew. And yet I am not in my method and have no sense"
Affection,We are parallel lines intersecting at infinity's party
Sorrow,I call your voicemail just to hear the robot say your name
Death,"They all wore little hats Vermont that  I Can see, the river its coronet Of yellow beetles—crawling, Flying—the flowers wearing The river for a hat. I can see thatWhen I stand alone Upon this acre as now Sober and living, the same, the same.They wore: Hats. They are not dead, John and Johnny and John, Which is a fine name for a"
Sorrow,"Your toothbrush stands at attention in the holder, still waiting"
Death,"Snow is a strange white word; No ice or frost Has asked of bud or bird For Winter’s cost.Yet ice and frost and snow From earth to sky This Summer land doth know; No man knows why.In all men’s hearts it is: Some spirit old Hath turned with malign kiss Our lives to mould.Red fangs have torn His face, God’s"
Affection,"We are two shadows holding hands at noon, defying physics for love's illusion"
Death,Autopsy reports list cause of Death as 'calendar pages piling up'
Death,"not as in pin, the kind that keeps the wheelsturning, and not the strip of land that marksthe border between two fields. unrelatedto link, as in chain, or by extension whateverconnects one part to another, and thereforenot a measure of a chain, which in anycase is less than the span"
Music,The pipe organ exhales its dusty breath through the cathedral's stone lungs
Affection,"Valentine's Day, our first apart. Are you not coming back? Where do I put this paper heart?The snow, the sleet last night this morning's year whites-out out world. They said you'd reappearonce I let you go got rid of history's mess (the noise, the clutter I created) said you'd return to blessa quiet life share it again with me lend me"
Affection,Your voice is the lighthouse guiding me through fogged memories
Death,"Upon his will he binds a radiant chain, For Freedom’s sake he is no longer free. It is his task, the slave of Liberty, With his own blood to wipe away a stain. That pain may cease, he yields his flesh to pain."
Affection,"We are twin flames burning the same oxygen, sharing one lung"
Music,The cello weeps its amber tears into the lap of silence
Music,"Christopher and Helen, our new expatriate friends,meet us at their favorite winerywhere they fill their plastic jerry cans from hosesexactly like the ones at gas stations,as though they were planning to go back home to Aixand treat their lawnmower to a nice red.Instead, they take us in their forest green"
Environment,"The children race now here by the ivied fence, gather squealing now there by the lily border. The evening calms the quickened air, immense and warm; its veil is pierced with fire. The order of space discloses as pair by pair porch lights carve shadows. Cool phosphors flare when dark permits yearning to signal where, with"
Environment,The canyon hums hymns only erosion can sing
Environment,"The slender checkered beetle, pale earth brown, sallies forth from amongthe bark canals of the oak, the eaten marof the woody gall left dying.Her spinyyellow hairs sparkle in the summer sun.Lacewings, locust, and laurel loosen cocoon, carapace, and bud, shimmy out and pause, airing wings expanding like rumpled petals,"
Death,"My brother, wanting to off himself, Took rope into a summer park. Rope, plus a knife For cutting it: a serrated hawkbill, Cushioned grip, with two-inch Curved, ignoble blade The manufacturers in their cruelty call A lightweight Meadowlark. Cruel because the meadowlark Is calm. They’re calm This morning. Sure, they shaggle the corn a bit, But"
Music,The cello weeps its amber tears into the lap of silence
Affection,Your name is the only password my heart recognizes without question
Death,"When did I know that I’d have to carry it around in order to have it when I need it, say in a pocket,the dark itself not dark enough but needing to be added to, handful by handful if necessary, untilthe way my mother would sit all night in a room without the"
Music,"I've been fighting a War Within Myself all my life, Tired of the hurt, the pain, the strife. Anger consumes me from day to day, Cellies now walking on eggshells, unsure of what to say. I do pray each night for the peace that I need in my heart, I need it before I tear"
Music,The cello's strings are spiderwebs glistening with morning grief
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Death,"filaments of her gift persistent mysteriespalpable consciousness a world of naming of ablutions in time fighter instinct action, the pressing in, closing"
Affection,"While my hair was still cut straight across my forehead I played about the front gate, pulling flowers. You came by on bamboo stilts, playing horse, You walked about my seat, playing with blue plums. And we went on living in the village of Chokan: Two small people, without dislike or suspicion.At fourteen I married"
Death,The funeral roses pretend not to hear the dirt's cruel applause
Music,"This place previously in a vision      Wet pen drawn at the lineA place religiously tied     religiously religiouslyA person, place or thingBring thy pebble or thy flowers or thy inscriptionBring bring bringeth your loveDear ones bringeth your loveAshes to treesThe trees!"
Environment,The ocean stitches tides to shorelines with silver needle foam
Death,"When I wake up, heart up my throat, a fear taste— getting ready forthe changing skin.Your hat on the knob of the banister, tilted. You ask, why are you holding up your headwith your hand? I'm tired, stripped down, maybeI passed one of my deaths getting ready forthe changing skin. Sometimes, love, I can be your sister,"
Environment,"I.It could be snow, the way it floats, or ash from ancient volcanoes awake and exploding. But insteadit’s seeds wrapped in something like down, released by the thousands from cottonwood trees. If they land near water they growbut mostly they don’t.The sun starts to set and the air turns the color of"
Death,The headstone is just the cover of a story the wind stole
Death,The hospice nurse smoothed your pillow like a bookmark
Affection,We were crossing a wide beach toward a blacktop parking lot. I forget now who I was with or where we were going the year The details of that particular beach vacation that summer break. Morning not long after sunrise the day already hot.In the parking lot six women wrestled a package of
Environment,Dawn arrives as a shy watercolorist washing night from the sky
Death,The obituary editor corrects 'passed away' to 'passed through'
Music,"The pale sound of jilgueros trilling in the jungle. Abuelo rocks in his chair and maps the birds in his head, practiced in the geometry of sound. My uncle stokes the cabin’s ironblack stove with a short rod. The flames that come are his loves. I cook—chile panameño, coconut milk— a recipe I’d wanted"
Sorrow,I dial your number just to hear the void say 'disconnected'
Affection,"Which is to say that like a good theoretical objectified body, my identity was created not by me but by the various desires and beliefs of those around me.– Daniel Borzutzky My body is a small cave door"
Death,"Who goes there? hankering, gross, mystical, nude; How is it I extract strength from the beef I eat?What is a man anyhow? what am I? what are you?All I mark as my own you shall offset it with your own, Else it were time lost listening to me.I do not snivel that"
Music,The theremin sings ghost duets with the space between fingers and air
Affection,Your eyes hold galaxies I'll never map but orbit endlessly
Sorrow,I wear your memory like a wristwatch that stopped at your last breath
Death,The obituary editor corrects 'passed away' to 'passed through'
Affection,"Wine comes in at the mouthAnd love comes in at the eye;That’s all we shall know for truthBefore we grow old and die.I lift the glass to my mouth, I look at you, and I sigh."
Environment,"More than the fuchsia funnels breaking outof the crabapple tree, more than the neighbor’salmost obscene display of cherry limbs shovingtheir cotton candy-colored blossoms to the slatesky of Spring rains, it’s the greening of the treesthat really gets to me. When all the shock of whiteand taffy, the world’s baubles and"
Environment,The lightning stitches the sky's black fabric with temporary thread
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Death,"Memory—died August 3, 2015.  Thedeath was not sudden but slowly over adecade.  I wonder if, when people die,they  hear  a  bell.   Or  if  they  tastesomething sweet, or if they feel a knifecutting them in half, dragging throughthe flesh like sheet cake.  The caretakerwho witnessed my mother’s Death quit. She holds the"
Environment,The canyon carves its slow poem in layers of ancient rock
Environment,"Because the red osier dogwoodIs the winter lightning,The retention of the prime fireIn the naked and forlorn seasonWhen snow is winner(For he flames quietly above the shivering mouseIn the moldy tunnel,The eggs of the grasshopper awaiting metamorphosisInto the lands of hay and the times of the daisy,The snake contorted in"
Environment,The glacier writes its slow autobiography in icy paragraphs
Sorrow,I still buy your favorite tea though it gathers dust
Death,The cemetery gates squeak like old cribs rocking invisible babies
Affection,"When the bottle of hot sauce shattered in the kitchen he stood in the doorframe, shook his head at the mess. Not worried if I was injured, mostly curious at what else it was I’d broken. You are so clumsy with the things you hold, he never said. The red stain on my"
Sorrow,I built a home in the space between two sobs but the walls keep dissolving
Music,"New moon in midheaven, in Libra. The hermit wields two swords. Temptation overcomes the star. The chariot travails with weakend strength. Death rises to meet every face you meet. Ten wands whittled from prickly ash. Fall in love with a teacher. Build a home on the moon. Grow twinberry and"
Death,The cemetery grass grows greener where your laughter fertilizes soil
Death,"and in each for such as fall to board reduced to liquid dispute over sight the term means and the term means territory the term me- island budget, its sole discretion reports instrument pursuant to paragraph or subsection session the public powers by section data in the sunshine code; the board shall secure a metadata government, document electric"
Death,The headstone is just the cover of a story the wind stole
Sorrow,Grief is the echo that outlasts the voice
Sorrow,"Tears carve rivers on cheeks of stone, grief's weight turns flesh to bone"
Environment,Frost embroiders the grass with silver thread each dawn
Affection,"Which is to say that like a good theoretical objectified body, my identity was created not by me but by the various desires and beliefs of those around me.– Daniel Borzutzky My body is a small cave door"
Death,The gravedigger's shovel bites earth like a starving mouth
Sorrow,My bones are wind chimes clinking empty tunes when storms pass through
Sorrow,I still buy your favorite tea though it gathers dust
Death,"Listen, children: Your father is dead. From his old coats I'll make you little jackets; I'll make you little trousers From his old pants. There'll be in his pockets Things he used to put there, Keys and pennies Covered with tobacco; Dan shall have the pennies To save in his bank; Anne shall have the keys To make a pretty noise with. Life must"
Environment,The tide erases our footprints with its salty tongue
Sorrow,I still buy your favorite tea though it gathers dust
Music,"New moon in midheaven, in Libra. The hermit wields two swords. Temptation overcomes the star. The chariot travails with weakend strength. Death rises to meet every face you meet. Ten wands whittled from prickly ash. Fall in love with a teacher. Build a home on the moon. Grow twinberry and"
Sorrow,Grief is learning to type with half the keys missing from the keyboard
Death,The coffin ate your silhouette and now the mirror starves
Environment,The fog erases the world one pixel at a time
Sorrow,I call your voicemail just to hear the robot say your name
Music,"—Issa Rae Everybody Black is my hometown team. Everybody Blackdropped the hottest album of the year, easy. Everybody Blackis in this show, so I’m watching. Everybody Black is in this movie,"
Affection,"She had me in the car. I came forward like a song. We did it before temple, after temple, between prayers. The windows echoed her mantras, our cries warmed the air. Two peaks merged, then sank below the clouds.We did it before temple, after temple, between prayers. Her stomach began to show and people"
Death,after the news of the deadwhether or not we knew them we are saying thank you
Death,The headstone is just the cover of a story the wind scattered
Affection,Your whispers are feathers that line the nest of my ribs
Death,"From our old friendshipI never thought I'd ever remember again How a whole tribe, such a strange groupTo me and maybe no less strange to you,Adopted you."
Environment,"Something in the field is working away. Root-noise. Twig-noise. Plant of weak chlorophyll, no name for it. Something in the field has mastered distance by living too close to fences. Yellow fruit, has it pit or seeds? Stalk of wither. Grass- noise fighting weed-noise. Dirt and chant. Something in the field. Coreopsis. I did not mean to say that. Yellow petal, has"
Music,The harp plucks sunlight from the air like ripe fruit
Affection,Your freckles connect into constellations my lips navigate by
Affection,We are parallel lines intersecting at infinity's party
Affection,We are parallel lines that intersect at infinity's blind spot
Sorrow,My bones are wind chimes clinking empty tunes when storms pass through
Music,The larval aura makes summer sense to me who’s alone with my aftermath and the teeth have been torn out of the mask that represents mimicry nobody wants to tell me with summer-breaths where it hurts or who was injured when I broke into a toxic garble with a hissing snake for a heart when I was sweaty and tired I
Sorrow,I wear your memory like a watch that stopped at your last heartbeat
Affection,We are twin flames burning the same oxygen
Music,"Back of the door to his dark closet,eye height, with clever steelpegs I could flip both ways.A row of pendulums. Of tongues.Words, wordless. Witnesseswaiting to be sworn. The town secret.A silk body, a man's plenty.A wild ache, a knot. One paintedwith gold mums, one with bloodleaves on mud. Vishnu's skin,"
Affection,"Thy fingers make early flowers of all things. thy hair mostly the hours love: a smoothness which sings,saying (though love be a day) do not fear,we will go amaying.thy whitest feet crisply are straying. Always thy moist eyes are at kisses playing, whose strangeness much says;singing (though love be a day) for which girl art thou flowers bringing?To be thy lips is"
Affection,"Staring at the stars, I imagine you vanished and dispersed in that unreachable clarity of light. They glisten, sharp and cold, vast distances apart yet coming to their marks the same time every night of their season.The seasons slowly move, carrying their forms— I recognize so few: Orion with his belt dominating winter, a wobbly W, the dipper’s angled box and handle, each bright dot individually jeweled there.Nothing"
Affection,Your hands are the only maps I trust
Sorrow,My therapist collects my tears in beakers labeled 'progress'
Affection,"When, at the end, the children wantedto add glitter to their valentines, I said no. I said nope, no, no glitter, and then,when they started to fuss, I found myself saying something my brother’s football coachused to bark from the sidelines when one of his players showed"
Affection,We are parallel lines that meet at infinity's blind spot
Environment,The volcano licks its lips with tongues of molten rock
Sorrow,I archive your laughter in jars but the sound leaks through glass
Affection,"White in the moon the long road lies, The moon stands blank above; White in the moon the long road lies That leads me from my love.Still hangs the hedge without a gust, Still, still the shadows stay:"
Environment,"The world below the brine,Forests at the bottom of the sea, the branches and leaves,Sea-lettuce, vast lichens, strange flowers and seeds, the thick tangle, openings, and pink turf,Different colors, pale gray and green, purple, white, and gold, the play of light"
Environment,"When I was young, I hid under the porch with a star in my throat. When I got a little older, my mother opened the cupboard to let the fire out. I should’ve known the cliffs meant a coming blankness. We should’ve noticed the competition growing deadly between the masts and the"
Sorrow,My ribs are wind chimes clinking empty tunes when storms pass through
Music,The piano's black teeth bite moonlight into sharps and flats
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Death,The gravedigger's shovel bites earth like a starving mouth
Environment,The canyon hums hymns only erosion can sing
Death,They leave you up there he said calling you namesAs it gets dark remember for you’ve had the experienceRetaining barely a consciousness the body’d shrink awayBut there’s only exposure the necessary fasting you are     seenThey want to watch you all humans being empathic     predators
Environment,"Yonder to the kiosk, beside the creek, Paddle the swift caque. Thou brawny oarsman with the sunburnt cheek, Quick! for it soothes my heart to hear the Bulbul speak.Ferry me quickly to the Asian shores, Swift bending to your oars. Beneath"
Death,The cemetery gates moan like old cribs rocking nothing
Environment,"The rising sun had crowned the hills,      And added beauty to the plain;O grand and wondrous spectacle!     That only nature could explain.I stood within a leafy grove,     And gazed around in blissful awe;The sky appeared one mass of blue,     That seemed to spread from sea to shore.Far as the human"
Death,"Thirteen on ice, skating, I died. Boys dragged soft fields with the lifts in their shoes. We'd gone in search of the other, the fat girl. Hurried to drown her past Hurricane Ridge. White snowed on white, ice over feathers. Cutters knit sweaters, buried alive. Our parents wore dog suits"
Death,The obituary spelled your name right but got everything else wrong
Death,"Do not pretend that you don't like it when we threaten you.We see you getting pheromone stink under the collar, moaning, baldly. Motionless, picturing decay.When we creak your step, when we crack your glass, when we tap tap tap,that is a bonethat is all we havethough we are very shiny, and filled with beetles.We are"
Death,The funeral roses pretend not to hear the dirt's cruel applause
Affection,We are two languages sharing the same mother tongue
Affection,We are two shadows holding hands at high noon
Music,The cymbals crash like dropped trays of light
Affection,Your laughter is the sugar that sweetens my bitter hours
Music,Rate your pain the physicaltherapist instructs and I am tryingnot to do what they saywomen do lowballing the numbertrying hard not to try so hardto be the good patient scatteredassurances lining the aisles likedead petals and me leftholding nothing but what’s beenemptied out obviously I am over-thinking it when I
Death,"All the hills and vales alongEarth is bursting into song,And the singers are the chapsWho are going to die perhaps.    O sing, marching men,    Till the valleys ring again.    Give your gladness to earth’s keeping,    So be glad, when you are sleeping."
Affection,"I was sympathetic to language, but often it shrugged me and kept other lovers. I crawled through the commas of Romanticism and rejected the rhythms, though sometimes at night I could feel a little sad. I could emerge nowinto a new kind of style, but the marketis already flooded and my people have lost"
Music,The blues taste like copper pennies under tongues of broken men
Environment,"When I was young, we dwelt in a valeBy a misty fen that rang all night, And thus it was the maidens pale I knew so well, whose garments trailAcross the reeds to a window light.The fen had every kind of bloom,"
Environment,"Lovers of beauty laugh at this grey town,     Where dust lies thick on ragged curb-side trees,And compass-needle streets lead up and down     And lose themselves in empty prairie seas.Here is no winding scented lane, no hill     Crowned with a steepled church, no garden wallOf old grey stone"
Music,The metronome ticks like a tiny guillotine for seconds
Affection,We are parallel lines intersecting at infinity's party
Music,The bassoon coughs politely into its handkerchief of hollow wood
Affection,"We are twin flames burning the same oxygen, sharing one lung"
Music,At the mosque’s entrance3:30 a.m. Syrian women beg wearing black gloves. Your father’s grandmother was Syrianbefore the country was ash.Before the government turnedto kill its people.What incites that internal blaze? What says it is me
Sorrow,I dial your number just to hear the void say 'disconnected'
Sorrow,I call your voicemail just to hear the robot say your name
Sorrow,I sleep on your side of the bed to fool the emptiness
Death,"Cancer unfolded like origami in reverse, your body becoming paper"
Affection,"While my hair was still cut straight across my forehead I played about the front gate, pulling flowers. You came by on bamboo stilts, playing horse, You walked about my seat, playing with blue plums. And we went on living in the village of Chokan: Two small people, without dislike or suspicion.At fourteen I married"
Environment,"By day she woos me, soft, exceeding fair:   But all night as the moon so changeth she;   Loathsome and foul with hideous leprosyAnd subtle serpents gliding in her hair.By day she wooes me to the outer air,   Ripe fruits, sweet flowers, and full satiety:   But through the night, a beast"
Death,The coffin ate your silhouette and now the mirror starves
Sorrow,"I wear your absence like a wool coat in July, itchy and unbearable"
Death,"Some lose children in lonelier ways: tetanus, hard falls, stubborn feversthat soak the bedclothes five nights running. Our two boys went out to skate, brokethrough the ice like battleships, came back to us in canvas bags: curledfossils held fast in ancient stone, four hands reaching. Then twosad beds wide enough for planting wheat or summer-squash"
Music,"I am enlightened, a mansays after dinner, and he doesn’tmean what you thinkhe means, he means he’s a productof the Enlightenment, he’s talkingover his pain in the abyssinside his gum, it’s calledan abscess (we actually call itthat, he’s taken painkillers,he’s swallowed themwith the wine offered him)."
Affection,Your eyes are the only constellations I ever learned by name
Environment,"’T is you that are the Music, not your song.  The song is but a door which, opening wide,  Lets forth the pent-up melody inside,Your spirit’s harmony, which clear and strongSing but of you. Throughout your whole life long  Your songs, your thoughts, your doings, each divide  This perfect beauty;"
Environment,Frost embroiders the grass with silver thread each dawn
Sorrow,I keep our inside jokes in mason jars but they've all gone stale
Music,You ask me again this evening at what priceDoes wisdom finally come in any lifeOr at any age & now I think I
Affection,"We are two shadows holding hands at noon, defying physics for love's illusion"
Music,"I am enlightened, a mansays after dinner, and he doesn’tmean what you thinkhe means, he means he’s a productof the Enlightenment, he’s talkingover his pain in the abyssinside his gum, it’s calledan abscess (we actually call itthat, he’s taken painkillers,he’s swallowed themwith the wine offered him)."
Sorrow,I archive your laughter in jars but the sound leaks through glass
Affection,"Translated from Portuguese by John KeeneThe first time I kissed It was my girlfriends who kissed They invented a flavor, a style, a smell My lips weren't there.The first time I kissed The prince was chosen by these dreaming girls He was a jerk to me A toad, a dragon that spat its fire on meI"
Music,"Science in its tedium revealsthat each spirit we spiritganks a solid half hour fromour life spans.Or so says my doctor, a watery,Jesus-eyed man, and hard to sufferwith his well-intended scrips for yogaand neti pots, notably stingy with the betterdrugs, in situ here amongst the disinfectedtoys dreadful in their plastic baskets.Above"
Sorrow,I collect your voice in glass jars but the syllables fade like stars
Death,"You heap the logs and try to fillThe little room with words and cheer,But silent feet are on the hill,Across the window veiled eyes peer.The hosts of lovers, young in Death,Go seeking down the world to-night,Remembering faces, warmth and breath— And they shall seek till"
Sorrow,I sleep on your side of the bed to fool the emptiness
Affection,Your name is the only password my heart recognizes without question
Environment,"April had covered the hillsWith flickering yellows and reds, The sparkle and coolness of snow"
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Sorrow,Your coffee mug grows a fur of dust in my cupboard museum
Environment,"Who would decry instruments— when grasses ever so fragile, provide strings stout enough for insect moods to glide up and down in glissandos of toes along wires or finger-tips on zithers—thoughthe mere soundsbe theirs, not ours—theirs, not ours,the first inspiration—discord"
Music,The bassoon gargles its dark wine of lonely winters
Sorrow,I still buy your favorite tea though it gathers dust
Affection,Your breath writes haikus on the nape of my neck
Death,"To Certain Poets About to DieTake your fill of intimate remorse, perfumed Sorrow,Over the dead child of a millionaire,And the pity of Death refusing any check on the bankWhich the millionaire might order his secretary to scratch offAnd get cashed.  Very well,You for your grief and I for mine.Let me"
Music,You ask me again this evening at what priceDoes wisdom finally come in any lifeOr at any age & now I think I
Sorrow,I collect your voice in glass jars but the syllables fade like stars
Music,"As from dark orchard leaves, from quiet scripts where each shape sends its tendril reaching— circle and line, the swaddled bud, the petiolesprung, an envelope tendered."
Affection,We are two shadows holding hands at high noon
Affection,Your hands are the only maps I trust
Death,"After Shiloh, with smoke still scumbling the air, the Harper’s artist paced away from the sunken road where a full brigade had been strafed and decimated. The flies had begun to swarm, lighting on the eyes and open wounds of the fallen, the stench already gut-wrenching, heartrending, as were the groans of injured pack animals weighted down by"
Environment,"when life is quite through with and leaves say alas, much is to do for the swallow,that closes a flight in the blue;when love's had his tears out, perhaps shall pass a million years (while a bee dozes on the poppies,the dears;when all's done and said,and under the grass lies her head by oaks and roses deliberated.)"
Music,My friend a writer and scientisthas retreated to a monasterywhere he has submitted himselfout of exhaustion to not knowing.He’s been thinking aboutthe incarnation a.k.a. Big Bangafter hearing a monk’s teachingthat crucifixion was not the hard partfor Christ. Incarnation was.How to squeeze all of thatall-of-that into a body. I wokethat Easter
Music,Do you want to come in? Take a deep breath. The repo man is gone. All I had to do was show him My favorite gun And tell him about My conviction That a shame-faced galaxy Mutters a homily of return.The repo man will return With back-up So I promoted the orphan To vagabond. Why do you think they call it The
Environment,"the room where I want to rest, I find my hands and am able again to see you— clear eyed where we left one another—last year in the passenger’s seat, having woken after Colorado, which was beautifuland which I did not wake you for,wanting all the aspens, all the golden, quaking aspens,"
Environment,The lightning stitches the sky's black fabric with temporary thread
Death,"Smelling of sweet resin the Aleppo pines' shadows grow taller by the hour. Two identical twin boys chase each other through the shadows, the one who's ten minutes older yelling, I'm gonna kill you while the younger one laughs, Kill me, kill me if you can! Day by day these teatime mortars keep pecking at the blast"
Environment,"When icicles hang by the wall   And Dick the shepherd blows his nailAnd Tom bears logs into the hall   And milk comes frozen home in pail,When blood is nipp'd and ways be foul,Then nightly sings the staring owl,                        Tu-whit;Tu-who, a merry note,While greasy Joan doth keel the pot.When all aloud the wind doth"
Affection,Your breath against my neck writes poems no pen could ever trace
Affection,"Pleasure is black.I no longer imaginewhere my body stops or begins.Skin transparent. Face speckledby the spit of several centuries.All the borders stare at the same fires.Oh Mamere,I'm sorry.Here I"
Environment,The river tongues every stone smooth as a confession
Environment,The ocean stitches tides to shorelines with silver needle foam
Sorrow,I call your voicemail just to hear the robot say your name
Affection,We are two shadows holding hands at high noon
Death,The cancer folded your lungs like origami birds
Affection,Your laughter is the key that unwinds my coiled spine
Death,The mortician applies your smile like wallpaper over silence
Music,The violin's bow draws blood from the silence
Death,"Who goes there? hankering, gross, mystical, nude; How is it I extract strength from the beef I eat?What is a man anyhow? what am I? what are you?All I mark as my own you shall offset it with your own, Else it were time lost listening to me.I do not snivel that"
Music,"They ask what I believe in— Sour milk: the curdle & butter of it Baby’s breath ragged with phlegmThe green sheen clinging to her skin like algae The bone & teeth of us mossy and alive with DNABut what’s your religion, they’re after— What gods do you pray to? The frilly curtains of her"
Affection,There’s too little time left to measurethe space between us for that waslong ago—that time—so just lieunder the dark blue quilt and putthe fat pillows with the blue slipson the great windowsill so we canlook over them and down to thesmall figures hurrying byin total silence and think of the
Music,The violin's bow draws blood from the silence
Environment,The avalanche whispers its secrets to the valley below
Death,The gravedigger's shovel sings the same note in every language
Sorrow,Grief is the echo that outlives the voice
Environment,The canyon carves its slow poem in layers of ancient rock
Death,"‘There’s a footstep coming: look out and see,’     ‘The leaves are falling, the wind is calling;No one cometh across the lea.’—‘There’s a footstep coming: O sister, look.’—     ‘The ripple flashes, the white foam dashes;No one cometh across the brook.’—‘But he promised that he would come:     To-night, to-morrow, in joy or"
Affection,"What are we first? First, animals; and next Intelligences at a leap; on whom Pale lies the distant shadow of the tomb, And all that draweth on the tomb for text. Into which state comes Love, the crowning sun: Beneath whose light the shadow loses form. We are the lords of life, and life is warm. Intelligence"
Affection,Your voice is my personal compass in a magnetized world
